epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4544.62,1.30991,0.80121,1.40893,0.8038,0.642,0.68475,0.48076,0.44113,1.32772,0.79051,1.4837,0.000971681,0.000971681,0.000971681
40,4661.81,1.2953,0.77754,1.40992,0.80229,0.62849,0.70402,0.48619,0.44216,1.30758,0.73787,1.46485,0.000968014,0.000968014,0.000968014
41,4778.26,1.30517,0.77892,1.40572,0.79135,0.60115,0.64636,0.4441,0.4075,1.30703,0.74537,1.47134,0.000964348,0.000964348,0.000964348
42,4894.39,1.28562,0.75811,1.3991,0.7482,0.62678,0.68008,0.4488,0.42658,1.33069,0.73282,1.48131,0.000960682,0.000960682,0.000960682
43,5008.64,1.29917,0.76372,1.40606,0.86154,0.66447,0.73438,0.50054,0.46466,1.3411,0.74834,1.48659,0.000957015,0.000957015,0.000957015
44,5123.18,1.29548,0.75476,1.40926,0.83553,0.671,0.71744,0.48955,0.46079,1.30877,0.7344,1.46966,0.000953349,0.000953349,0.000953349
45,5239.74,1.29825,0.75814,1.39397,0.79436,0.61496,0.67832,0.46901,0.43374,1.32592,0.72916,1.47464,0.000949683,0.000949683,0.000949683
46,5356.35,1.29571,0.74815,1.38598,0.72898,0.64724,0.6931,0.48143,0.43759,1.31789,0.72913,1.4647,0.000946016,0.000946016,0.000946016
47,5468.97,1.2731,0.74036,1.37816,0.84591,0.64682,0.71443,0.49741,0.46409,1.32275,0.73709,1.46269,0.00094235,0.00094235,0.00094235
48,5585.99,1.27899,0.72838,1.39505,0.77687,0.63861,0.70431,0.48762,0.44934,1.32888,0.72067,1.46732,0.000938684,0.000938684,0.000938684
49,5700.49,1.27467,0.7293,1.37585,0.82092,0.62195,0.67294,0.46584,0.43208,1.31524,0.70243,1.4632,0.000935018,0.000935018,0.000935018
50,5815.57,1.25907,0.71778,1.37158,0.7528,0.67388,0.71499,0.51675,0.46426,1.30093,0.69601,1.44771,0.000931351,0.000931351,0.000931351
51,5932.28,1.25251,0.71266,1.37518,0.9055,0.66567,0.72808,0.47579,0.45987,1.31932,0.70124,1.46985,0.000927685,0.000927685,0.000927685
52,6047.83,1.25842,0.69656,1.36333,0.87964,0.68692,0.77825,0.53806,0.49509,1.30227,0.68093,1.44953,0.000924019,0.000924019,0.000924019
53,6163.7,1.2673,0.72057,1.38408,0.79735,0.66295,0.71359,0.48463,0.45085,1.30886,0.70272,1.462,0.000920352,0.000920352,0.000920352
54,6279.26,1.24946,0.72342,1.36456,0.85092,0.62518,0.72624,0.50801,0.47844,1.29541,0.67958,1.45223,0.000916686,0.000916686,0.000916686
55,6395.55,1.24357,0.68837,1.3592,0.7775,0.60499,0.6686,0.45603,0.42818,1.31397,0.68893,1.46131,0.00091302,0.00091302,0.00091302
56,6512.11,1.23994,0.68782,1.35535,0.79901,0.65709,0.71625,0.51057,0.46524,1.31803,0.68934,1.45298,0.000909353,0.000909353,0.000909353
57,6626.55,1.25523,0.69097,1.36209,0.91041,0.69375,0.77305,0.53028,0.50546,1.30695,0.68324,1.45761,0.000905687,0.000905687,0.000905687
58,6742.81,1.2541,0.69534,1.36167,0.84658,0.63092,0.72101,0.51108,0.4721,1.30836,0.67959,1.46014,0.000902021,0.000902021,0.000902021
59,6858.28,1.22832,0.68198,1.36177,0.90016,0.6729,0.7685,0.52605,0.49596,1.3073,0.65979,1.46268,0.000898355,0.000898355,0.000898355
60,6972.01,1.2239,0.67151,1.35446,0.74222,0.68579,0.70878,0.5065,0.45679,1.30223,0.68649,1.45713,0.000894688,0.000894688,0.000894688
61,7086.13,1.23054,0.67309,1.3428,0.80862,0.70317,0.764,0.55534,0.50719,1.29752,0.6594,1.44465,0.000891022,0.000891022,0.000891022
62,7202.67,1.23012,0.66739,1.35026,0.72354,0.71974,0.71971,0.51207,0.46838,1.3049,0.664,1.45806,0.000887356,0.000887356,0.000887356
63,7317.04,1.2209,0.66144,1.3472,0.83056,0.65224,0.72241,0.52129,0.48018,1.30449,0.66638,1.45589,0.000883689,0.000883689,0.000883689
64,7433.94,1.21738,0.6609,1.3465,0.8199,0.71551,0.76656,0.51716,0.49243,1.31764,0.6653,1.46159,0.000880023,0.000880023,0.000880023
65,7547.32,1.21019,0.65595,1.33504,0.88571,0.75877,0.80344,0.56435,0.52273,1.30301,0.65092,1.45803,0.000876357,0.000876357,0.000876357
66,7655.67,1.21683,0.64545,1.34159,0.85918,0.72619,0.76956,0.53251,0.48385,1.28672,0.65902,1.44615,0.000872691,0.000872691,0.000872691
67,7771.13,1.21595,0.64475,1.33599,0.8599,0.68976,0.76493,0.51598,0.49758,1.29842,0.66553,1.45091,0.000869024,0.000869024,0.000869024
68,7886.25,1.20708,0.64981,1.33113,0.82242,0.75048,0.78804,0.55753,0.51425,1.30267,0.65482,1.46021,0.000865358,0.000865358,0.000865358
69,8001.78,1.2097,0.64374,1.33401,0.87618,0.68536,0.74561,0.53669,0.47195,1.28451,0.65262,1.44144,0.000861692,0.000861692,0.000861692
70,8118.47,1.19629,0.63579,1.32459,0.80289,0.69205,0.75314,0.52491,0.48641,1.29555,0.65108,1.45235,0.000858025,0.000858025,0.000858025
71,8235.61,1.19636,0.63137,1.32477,0.7644,0.66757,0.7437,0.50837,0.47927,1.29527,0.66086,1.45281,0.000854359,0.000854359,0.000854359
72,8351.97,1.18502,0.62699,1.32686,0.8837,0.67762,0.74959,0.5128,0.48646,1.28638,0.64118,1.44881,0.000850693,0.000850693,0.000850693
73,8467.76,1.2042,0.62734,1.32545,0.89493,0.72797,0.78249,0.54605,0.51006,1.29157,0.63648,1.44826,0.000847026,0.000847026,0.000847026
74,8584.11,1.18217,0.61921,1.32266,0.83222,0.69944,0.7439,0.52621,0.48636,1.29376,0.64501,1.44343,0.00084336,0.00084336,0.00084336
75,8698.25,1.18583,0.62291,1.30849,0.75615,0.71114,0.73281,0.54112,0.4952,1.28807,0.62866,1.44748,0.000839694,0.000839694,0.000839694
76,8813.47,1.1815,0.61366,1.31821,0.83917,0.71322,0.77009,0.55106,0.49503,1.28074,0.63481,1.4432,0.000836027,0.000836027,0.000836027
77,8929.61,1.17927,0.61311,1.3043,0.78491,0.69546,0.74678,0.52021,0.48255,1.29465,0.65391,1.45519,0.000832361,0.000832361,0.000832361
78,9043.08,1.18103,0.61359,1.30304,0.85931,0.66119,0.77506,0.52358,0.49294,1.31329,0.63526,1.47506,0.000828695,0.000828695,0.000828695
79,9158.48,1.16618,0.60539,1.30574,0.8165,0.66032,0.71524,0.51746,0.46541,1.29492,0.64069,1.45484,0.000825029,0.000825029,0.000825029
80,9274.24,1.17851,0.60913,1.31653,0.8505,0.74793,0.80634,0.56631,0.52633,1.29096,0.63004,1.45247,0.000821362,0.000821362,0.000821362
81,9385.79,1.16721,0.60616,1.30652,0.8398,0.70548,0.76872,0.5335,0.48819,1.29524,0.61746,1.45144,0.000817696,0.000817696,0.000817696
82,9500.65,1.16763,0.60085,1.31581,0.77245,0.65292,0.70331,0.4973,0.46221,1.29619,0.63374,1.45456,0.00081403,0.00081403,0.00081403
83,9616,1.1586,0.59619,1.29978,0.84979,0.71753,0.7782,0.54996,0.50972,1.29829,0.62442,1.46306,0.000810363,0.000810363,0.000810363
84,9731.04,1.15929,0.59187,1.29529,0.83349,0.73065,0.78372,0.56481,0.51141,1.29566,0.61458,1.451,0.000806697,0.000806697,0.000806697
85,9845.02,1.16666,0.585,1.29699,0.81644,0.71396,0.78321,0.5512,0.51462,1.29971,0.63499,1.46394,0.000803031,0.000803031,0.000803031
86,9961.49,1.15023,0.5862,1.29694,0.8413,0.73276,0.79005,0.55489,0.51553,1.28609,0.61513,1.45128,0.000799365,0.000799365,0.000799365
87,10074.8,1.1508,0.59031,1.29716,0.84731,0.72889,0.76348,0.56482,0.51238,1.28632,0.62219,1.44815,0.000795698,0.000795698,0.000795698
88,10191,1.1306,0.58815,1.28392,0.83609,0.73609,0.78399,0.55004,0.50361,1.30436,0.618,1.46192,0.000792032,0.000792032,0.000792032
89,10308.1,1.1341,0.5868,1.27147,0.80526,0.74257,0.77412,0.54161,0.5094,1.29077,0.61355,1.45587,0.000788366,0.000788366,0.000788366
90,10423.3,1.13855,0.57015,1.28082,0.7881,0.69678,0.7639,0.56025,0.51249,1.2881,0.60846,1.44979,0.000784699,0.000784699,0.000784699
91,10538,1.15052,0.57796,1.28444,0.85628,0.70068,0.77213,0.53837,0.50314,1.28236,0.61158,1.4412,0.000781033,0.000781033,0.000781033
92,10654.3,1.123,0.57481,1.27615,0.83583,0.68055,0.76086,0.52444,0.4924,1.28311,0.61243,1.45247,0.000777367,0.000777367,0.000777367
93,10769.4,1.13082,0.57172,1.28304,0.90806,0.727,0.80259,0.56714,0.52425,1.28966,0.6035,1.45105,0.0007737,0.0007737,0.0007737
94,10881.2,1.10953,0.55952,1.2629,0.91808,0.73712,0.79867,0.564,0.51781,1.28916,0.60962,1.45521,0.000770034,0.000770034,0.000770034
95,10998.2,1.1203,0.56128,1.26241,0.79726,0.72546,0.77236,0.55947,0.52279,1.30202,0.61661,1.46376,0.000766368,0.000766368,0.000766368
96,11113.7,1.11465,0.56227,1.26215,0.88115,0.74606,0.78573,0.55668,0.51792,1.28791,0.60478,1.45256,0.000762702,0.000762702,0.000762702
