epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,7482.95,1.37714,0.99799,1.09629,0.54308,0.43654,0.45394,0.28702,0.27859,1.31509,0.97408,1.07651,0.008713,0.008713,0.008713
41,7670.2,1.37252,0.98927,1.09599,0.55212,0.42784,0.45201,0.28281,0.27685,1.3142,0.97362,1.07465,0.00868,0.00868,0.00868
42,7855.11,1.37462,0.99453,1.09417,0.55278,0.42804,0.45481,0.2859,0.27842,1.31402,0.97234,1.07472,0.008647,0.008647,0.008647
43,8041.46,1.36724,0.98596,1.08853,0.56833,0.43031,0.46002,0.28784,0.28114,1.31332,0.96505,1.07475,0.008614,0.008614,0.008614
44,8228.97,1.36944,0.98017,1.09222,0.54297,0.43999,0.45792,0.28731,0.28168,1.30874,0.95704,1.07109,0.008581,0.008581,0.008581
45,8415.18,1.3669,0.97952,1.09073,0.54915,0.43806,0.45851,0.28474,0.28036,1.31157,0.96092,1.07399,0.008548,0.008548,0.008548
46,8601.44,1.36346,0.9748,1.08884,0.5555,0.44791,0.46404,0.29347,0.28631,1.30629,0.95653,1.06956,0.008515,0.008515,0.008515
47,8789.36,1.3624,0.97106,1.08375,0.55945,0.43247,0.46243,0.28811,0.28295,1.30851,0.95289,1.07223,0.008482,0.008482,0.008482
48,8976.68,1.35462,0.9611,1.08271,0.54632,0.44382,0.46133,0.29112,0.28342,1.3063,0.95345,1.06974,0.008449,0.008449,0.008449
49,9164.29,1.35283,0.95684,1.08303,0.56002,0.44226,0.46451,0.2918,0.28525,1.30785,0.94662,1.0692,0.008416,0.008416,0.008416
50,9351.75,1.35663,0.95983,1.08149,0.56027,0.45086,0.46995,0.29568,0.28856,1.3027,0.94346,1.06777,0.008383,0.008383,0.008383
51,9538.95,1.35261,0.9556,1.07989,0.55833,0.45028,0.46749,0.29435,0.2882,1.30037,0.94093,1.06613,0.00835,0.00835,0.00835
52,9724.13,1.34167,0.94419,1.08086,0.56314,0.44388,0.47033,0.29614,0.29053,1.29861,0.94129,1.06458,0.008317,0.008317,0.008317
53,9910.81,1.34375,0.9424,1.07937,0.55614,0.45497,0.47151,0.29696,0.29007,1.29543,0.93921,1.06579,0.008284,0.008284,0.008284
54,10097.2,1.33967,0.93892,1.07576,0.56006,0.45046,0.47148,0.30207,0.29235,1.29388,0.9346,1.06261,0.008251,0.008251,0.008251
55,10284.9,1.34763,0.9417,1.07591,0.56442,0.45107,0.47426,0.29884,0.29233,1.29434,0.93144,1.06222,0.008218,0.008218,0.008218
56,10471.2,1.34014,0.93605,1.07622,0.56784,0.44994,0.47509,0.29996,0.29267,1.29438,0.93372,1.0635,0.008185,0.008185,0.008185
57,10659.2,1.3362,0.93112,1.07444,0.56552,0.44966,0.47319,0.30222,0.29215,1.2936,0.92995,1.06193,0.008152,0.008152,0.008152
58,10846.6,1.3273,0.92243,1.07282,0.56445,0.44816,0.47453,0.29792,0.29165,1.29157,0.92787,1.0612,0.008119,0.008119,0.008119
59,11033.6,1.33137,0.92167,1.07003,0.56053,0.45115,0.47397,0.29716,0.29069,1.29233,0.93073,1.0609,0.008086,0.008086,0.008086
60,11220.2,1.3314,0.92176,1.06958,0.57299,0.45017,0.47907,0.30078,0.29445,1.29414,0.92423,1.06197,0.008053,0.008053,0.008053
61,11406.7,1.32737,0.91656,1.07122,0.56505,0.45833,0.47788,0.30192,0.29433,1.28777,0.92412,1.06086,0.00802,0.00802,0.00802
62,11594,1.32502,0.91484,1.06712,0.57371,0.45734,0.47984,0.30567,0.29661,1.28724,0.91977,1.05811,0.007987,0.007987,0.007987
63,11781.8,1.32353,0.90872,1.06662,0.57397,0.45247,0.47809,0.30356,0.2959,1.28364,0.91734,1.05559,0.007954,0.007954,0.007954
64,11968.9,1.31746,0.90312,1.06571,0.56834,0.45697,0.48128,0.30706,0.29809,1.2862,0.91856,1.05863,0.007921,0.007921,0.007921
65,12151.9,1.3195,0.90624,1.06531,0.57148,0.45531,0.48353,0.3081,0.29837,1.28503,0.91492,1.05856,0.007888,0.007888,0.007888
66,12323.3,1.31612,0.89854,1.06242,0.56807,0.47337,0.48569,0.30734,0.29833,1.28567,0.91379,1.0578,0.007855,0.007855,0.007855
67,12508.6,1.31617,0.90053,1.06363,0.57765,0.4633,0.48509,0.30827,0.29913,1.28561,0.91451,1.05934,0.007822,0.007822,0.007822
68,12696.2,1.30844,0.88847,1.05878,0.58291,0.45957,0.48478,0.30868,0.29871,1.28779,0.91233,1.05806,0.007789,0.007789,0.007789
69,12882.6,1.31272,0.89332,1.0608,0.56759,0.46637,0.48479,0.30841,0.29923,1.28231,0.91103,1.05714,0.007756,0.007756,0.007756
70,13069.4,1.30704,0.88428,1.059,0.57113,0.46578,0.48577,0.30712,0.29887,1.28563,0.91023,1.05631,0.007723,0.007723,0.007723
71,13256.3,1.30179,0.88328,1.05752,0.56231,0.46509,0.48519,0.30772,0.29993,1.28429,0.90969,1.0564,0.00769,0.00769,0.00769
72,13444.7,1.30465,0.88195,1.05856,0.56622,0.46257,0.48459,0.30945,0.30039,1.2845,0.91094,1.05527,0.007657,0.007657,0.007657
73,13631.1,1.30165,0.88016,1.05686,0.57847,0.46726,0.4854,0.3096,0.30075,1.28404,0.90935,1.05364,0.007624,0.007624,0.007624
