epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,7959.75,1.32005,0.96451,0.94559,0.48755,0.36994,0.3818,0.23329,0.22925,1.22809,0.90026,0.91288,0.0042476,0.0042476,0.0042476
40,8164.25,1.32053,0.96964,0.94739,0.48592,0.37366,0.38241,0.23046,0.22863,1.22715,0.89439,0.91432,0.0042278,0.0042278,0.0042278
41,8367.29,1.30617,0.954,0.94386,0.49406,0.36792,0.38305,0.23374,0.23095,1.21775,0.89598,0.91067,0.004208,0.004208,0.004208
42,8570.11,1.31548,0.96508,0.94869,0.49507,0.37796,0.39035,0.24149,0.23529,1.21304,0.88384,0.91004,0.0041882,0.0041882,0.0041882
43,8773.14,1.31404,0.96261,0.9436,0.47929,0.37725,0.38263,0.23506,0.2302,1.21367,0.89227,0.91072,0.0041684,0.0041684,0.0041684
44,8976.85,1.3045,0.94639,0.94157,0.47748,0.37624,0.38634,0.23855,0.23304,1.20576,0.88239,0.90743,0.0041486,0.0041486,0.0041486
45,9179.31,1.30222,0.94762,0.94282,0.48506,0.38614,0.39014,0.23782,0.23397,1.20981,0.8787,0.90872,0.0041288,0.0041288,0.0041288
46,9381.97,1.31355,0.95189,0.94524,0.49524,0.38649,0.39342,0.24266,0.23752,1.20928,0.87925,0.90923,0.004109,0.004109,0.004109
47,9586.19,1.3015,0.95091,0.94323,0.49276,0.38544,0.39019,0.24289,0.23646,1.21186,0.87957,0.90975,0.0040892,0.0040892,0.0040892
48,9789.96,1.30651,0.9512,0.94334,0.48675,0.38761,0.39414,0.24577,0.23772,1.20279,0.87496,0.90804,0.0040694,0.0040694,0.0040694
49,9993.01,1.30184,0.9441,0.94232,0.49025,0.38492,0.39552,0.24695,0.23955,1.19858,0.87336,0.90782,0.0040496,0.0040496,0.0040496
50,10195.9,1.29328,0.94216,0.94229,0.49485,0.39063,0.39694,0.24593,0.24074,1.19852,0.87259,0.90868,0.0040298,0.0040298,0.0040298
51,10398.9,1.29903,0.94492,0.94163,0.48633,0.39637,0.39505,0.24472,0.23842,1.20597,0.86632,0.90852,0.00401,0.00401,0.00401
52,10601.7,1.29625,0.93954,0.94161,0.48812,0.40032,0.40174,0.25036,0.24356,1.19447,0.8636,0.90645,0.0039902,0.0039902,0.0039902
53,10804.6,1.30028,0.94328,0.94376,0.49218,0.38743,0.39772,0.24516,0.23968,1.20528,0.86977,0.90816,0.0039704,0.0039704,0.0039704
54,11007.5,1.29704,0.93301,0.93939,0.49528,0.38918,0.40164,0.24909,0.24354,1.19054,0.85757,0.90465,0.0039506,0.0039506,0.0039506
